City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,aksu,41.1231,80.2644,305.48,21,0,0.2,CN,1691645371
181,kununurra,-15.7667,128.7333,305.14,22,53,4.12,AU,1691645371
182,kingston,17.997,-76.7936,302.68,86,20,1.03,JM,1691645271
183,taltal,-25.4,-70.4833,287.55,89,43,0.57,CL,1691645371
184,chui,-33.6971,-53.4616,288.47,92,99,5.75,UY,1691645372
185,kuala terengganu,5.3302,103.1408,305.92,74,40,2.57,MY,1691645372
186,aasiaat,68.7098,-52.8699,275.92,94,94,4.66,GL,1691645372
187,tarawa,1.419,172.984,301.69,73,55,2.78,KI,1691645372
188,constantia,44.1833,28.65,294.65,65,77,6.47,RO,1691645373
189,coquimbo,-29.9533,-71.3436,287.0,94,100,0.51,CL,1691645373
190,greymouth,-42.4667,171.2,280.45,61,0,2.34,NZ,1691645373
191,sungai penuh,-2.0833,101.3833,300.13,56,39,1.54,ID,1691645373
192,formosa do rio preto,-11.0483,-45.1931,292.89,51,0,1.69,BR,1691645374
193,york,40.1254,-77.0,295.59,80,88,1.58,US,1691645374
194,afaahiti,-17.75,-149.2833,297.08,70,94,6.72,PF,1691645374
195,kharan,28.5833,65.4167,307.9,15,19,3.58,PK,1691645374
196,mossel bay,-34.1831,22.146,285.11,69,0,2.19,ZA,1691645375
197,kiunga,-6.1219,141.2906,301.61,61,91,2.14,PG,1691645375
198,impfondo,1.6381,18.0667,294.78,98,100,1.11,CG,1691645375
199,floro,61.5996,5.0328,283.19,93,75,6.17,NO,1691645375
200,bharthana,26.7571,79.2248,307.46,49,92,4.94,IN,1691645376
201,belyy yar,53.6039,91.3903,299.09,47,0,2.0,RU,1691645376
202,port elizabeth,-33.918,25.5701,286.31,94,0,4.63,ZA,1691645376
203,mukalla,14.5425,49.1242,303.62,62,69,1.21,YE,1691645376
204,mandvi,22.8333,69.3667,301.56,79,100,9.66,IN,1691645377
205,saint-joseph,-21.3667,55.6167,295.63,75,25,1.58,RE,1691645377
206,princeville,45.7668,-61.2985,292.27,97,100,3.09,CA,1691645377
207,sinop,41.7711,34.8709,293.84,82,79,0.64,TR,1691645377
208,touros,-5.1989,-35.4608,295.91,84,44,5.89,BR,1691645378
209,revda,56.801,59.9303,294.6,62,94,3.03,RU,1691645378
210,la passe,45.5549,-0.8967,293.28,68,9,3.3,FR,1691645378
211,robore,-18.3333,-59.75,297.01,54,0,1.19,BO,1691645378
212,al jawf,29.5,38.75,302.31,26,0,3.38,SA,1691645379
213,alice springs,-23.7,133.8833,298.9,15,0,4.12,AU,1691645379
214,plettenberg bay,-34.0527,23.3716,288.55,61,45,1.34,ZA,1691645379
215,bytow,54.1706,17.4919,285.49,84,92,3.65,PL,1691645379
216,ust-nera,64.5667,143.2,295.37,38,5,1.29,RU,1691645379
217,nuuk,64.1835,-51.7216,277.49,100,100,4.12,GL,1691645380
218,richland center,43.3347,-90.3868,293.5,93,19,2.93,US,1691645380
219,atbasar,51.8,68.3333,293.97,47,100,3.73,KZ,1691645380
220,krasnyy chikoy,50.3643,108.7512,295.73,81,100,1.48,RU,1691645380
221,grand falls-windsor,48.9332,-55.6649,285.65,90,100,0.89,CA,1691645381
222,dakhla,23.6848,-15.958,293.45,93,25,9.67,EH,1691645381
223,puerto baquerizo moreno,-0.9,-89.6,296.7,82,83,3.77,EC,1691645381
224,esqueda,30.7167,-109.5833,296.85,60,32,4.95,MX,1691645381
225,loanda,-8.8368,13.2343,292.15,88,40,0.51,AO,1691645242
226,newman,37.3138,-121.0208,297.14,51,0,3.08,US,1691645382
227,fort mcmurray,56.7268,-111.381,286.92,100,100,5.14,CA,1691645382
228,port alfred,-33.5906,26.891,287.14,91,0,1.34,ZA,1691645382
229,mushie,-3.0167,16.9,295.36,74,66,1.08,CD,1691645382
230,sastre,-31.7676,-61.8289,286.9,81,100,3.19,AR,1691645383
231,macapa,0.0389,-51.0664,300.14,94,40,3.09,BR,1691645189
232,nagqu,31.5,92.0,289.27,47,20,1.69,CN,1691645383
233,tynda,55.1667,124.7167,299.53,40,4,2.24,RU,1691645383
234,dawei,14.0833,98.2,302.11,76,97,2.57,MM,1691645383
235,paraparaumu,-40.9167,175.0167,280.51,83,100,4.64,NZ,1691645384
236,luderitz,-26.6481,15.1594,291.36,58,93,3.14,NA,1691645384
237,novoagansk,61.9449,76.6625,285.21,88,100,7.01,RU,1691645384
238,hithadhoo,-0.6,73.0833,300.53,74,73,2.66,MV,1691645384
239,wailua homesteads,22.0669,-159.378,301.39,79,75,10.29,US,1691645384
240,yarkovo,57.4028,67.0786,292.56,52,69,4.45,RU,1691645385
241,faya-largeau,17.9257,19.1043,302.15,63,100,6.15,TD,1691645385
242,burang,30.25,81.1667,287.25,73,100,2.71,CN,1691645385
243,enewetak,11.3474,162.3373,301.93,76,70,6.48,MH,1691645385
244,kalmunai,7.4167,81.8167,304.91,56,99,1.22,LK,1691645386
245,horta,38.5333,-28.6333,293.72,86,53,4.02,PT,1691645386
246,kralendijk,12.15,-68.2667,302.14,84,56,7.2,BQ,1691645386
247,sinabang,2.4803,96.3801,299.14,85,100,1.79,ID,1691645386
248,praia da vitoria,38.7333,-27.0667,295.29,94,75,2.3,PT,1691645387
249,plastun,44.7561,136.2939,290.51,98,100,3.02,RU,1691645387
250,kapuskasing,49.4169,-82.4331,288.2,94,100,2.57,CA,1691645387
251,elverum,60.8819,11.5623,283.78,95,100,1.97,NO,1691645387
252,santa terezinha,-29.9002,-50.0904,289.02,96,100,4.79,BR,1691645387
253,reggane,26.7158,0.1714,306.17,14,0,5.67,DZ,1691645388
254,vacha,55.8008,42.7706,293.51,80,27,2.54,RU,1691645388
255,carutapera,-1.195,-46.02,297.88,86,56,3.16,BR,1691645388
256,shasta lake,40.6804,-122.3708,298.55,42,1,0.94,US,1691645388
257,kapoeta,4.7717,33.5903,298.67,59,45,5.0,SS,1691645389
258,conil de la frontera,36.2772,-6.0885,296.42,79,0,1.82,ES,1691645389
259,hadibu,12.65,54.0333,299.64,77,100,10.75,YE,1691645389
260,temnikov,54.6302,43.2148,293.87,80,58,2.63,RU,1691645389
261,nemuro,43.3236,145.575,293.68,94,100,7.58,JP,1691645390
262,talnakh,69.4865,88.3972,290.49,41,98,6.03,RU,1691645390
263,mwatate,-3.5029,38.3795,291.42,80,34,2.65,KE,1691645390
264,arkhangel'sk,64.5401,40.5433,294.46,69,0,2.96,RU,1691645390
265,strezhevoy,60.7333,77.5889,283.96,96,100,5.16,RU,1691645390
266,sesheke,-17.4759,24.2968,285.92,39,2,3.87,ZM,1691645391
267,remire-montjoly,4.9167,-52.2667,297.17,94,20,0.0,GF,1691645391
268,lospalos,-8.5186,127.0025,298.68,59,81,6.02,TL,1691645391
269,oodweyne,9.4092,45.064,297.15,50,100,10.83,SO,1691645391
270,nadi,-17.8,177.4167,295.15,88,75,4.63,FJ,1691645392
271,broome,42.2506,-75.833,292.36,94,0,2.57,US,1691645392
272,arhribs,36.7936,4.3116,296.86,39,0,1.38,DZ,1691645392
273,san patricio,28.017,-97.5169,302.51,82,0,7.51,US,1691645392
274,atafu village,-8.5421,-172.5159,300.99,80,41,6.48,TK,1691645178
275,birmitrapur,22.4,84.7667,304.14,58,11,3.55,IN,1691645393
276,pauini,-7.7136,-66.9764,295.31,94,16,1.11,BR,1691645393
277,vineland,39.4862,-75.0257,296.95,90,0,0.0,US,1691645393
278,quellon,-43.1167,-73.6167,282.29,93,100,3.6,CL,1691645393
279,smithers,54.7804,-127.1743,288.33,63,75,1.54,CA,1691645297
280,selfoss,63.9331,-20.9971,283.73,67,100,2.94,IS,1691645394
281,tallahassee,30.4383,-84.2807,300.93,89,0,0.0,US,1691645334
282,east london,-33.0153,27.9116,288.67,82,0,4.63,ZA,1691645394
283,shar'ya,58.3686,45.5144,295.41,63,6,2.53,RU,1691645394
284,cestos city,5.46,-9.5828,297.74,84,100,5.43,LR,1691645395
285,ouarzazat,30.9189,-6.8934,302.31,21,40,4.12,MA,1691645395
286,ust'-ilimsk,58.0006,102.6619,296.6,48,100,4.05,RU,1691645395
287,ta`u,-14.2336,-169.5144,300.53,77,36,6.47,AS,1691645395
288,raduzhny,62.0961,77.475,284.49,93,100,6.08,RU,1691645396
289,pollenca,39.8768,3.0163,298.62,67,24,2.88,ES,1691645395
290,kamaishi,39.2667,141.8833,301.56,71,16,6.05,JP,1691645396
291,klyuchi,52.2667,79.1667,302.0,28,86,3.0,RU,1691645396
292,melekeok village,7.4957,134.6367,302.46,74,100,7.2,PW,1691645397
293,palmer,42.1584,-72.3287,293.99,81,0,3.09,US,1691645397
294,khanty-mansiysk,61.0042,69.0019,289.21,51,20,3.13,RU,1691645397
295,mpulungu,-8.7623,31.1141,293.68,58,0,4.97,ZM,1691645397
296,nova sintra,14.8667,-24.7167,295.87,73,64,6.01,CV,1691645397
297,fort st. john,56.2499,-120.8529,291.09,52,75,5.66,CA,1691645370
298,ivankiv,50.9386,29.8943,290.35,59,69,2.36,UA,1691645398
299,taoudenni,22.6783,-3.9836,307.59,31,44,0.57,ML,1691645398
300,yen bai,21.7,104.8667,304.96,68,100,1.0,VN,1691645398
301,new norfolk,-42.7826,147.0587,287.99,61,64,3.67,AU,1691645398
302,gargalianoi,37.0667,21.6333,296.68,69,0,0.82,GR,1691645399
303,toliara,-23.35,43.6667,293.82,76,28,6.69,MG,1691645399
304,kidal,18.4411,1.4078,302.99,54,29,1.05,ML,1691645399
305,ikalamavony,-21.15,46.5833,290.18,68,0,1.62,MG,1691645400
306,porto novo,6.4965,2.6036,299.05,87,100,3.18,BJ,1691645400
307,pangai,-19.8,-174.35,297.21,88,20,2.06,TO,1691645400
308,mangrol,21.1167,70.1167,301.56,77,95,8.58,IN,1691645401
309,dudinka,69.4058,86.1778,290.72,52,100,10.57,RU,1691645402
310,santa elena de uairen,4.6167,-61.1333,292.44,88,69,1.38,VE,1691645403
311,las palmas de gran canaria,28.0997,-15.4134,298.22,57,20,11.32,ES,1691645403
312,kamyshevatskaya,46.4132,37.9563,298.67,67,98,3.7,RU,1691645404
313,kandira,41.0736,30.1746,295.7,77,100,1.36,TR,1691645404
314,changli,39.7042,119.1506,305.01,45,17,2.37,CN,1691645405
315,egilsstadir,65.2653,-14.3948,276.1,93,0,1.03,IS,1691645405
316,ilomantsi,62.6716,30.9328,290.2,93,93,2.18,FI,1691645312
317,tual,-5.6667,132.75,298.98,82,52,9.17,ID,1691645405
318,tinajo,29.0788,-13.7081,296.64,78,20,13.38,ES,1691645406
319,mount isa,-20.7333,139.5,300.02,26,10,4.12,AU,1691645406
320,malindi,-3.2175,40.1191,298.52,73,35,6.01,KE,1691645406
321,manokwari,-0.8667,134.0833,300.98,75,95,2.18,ID,1691645417
322,bontang,0.1333,117.5,301.14,79,89,3.64,ID,1691645417
323,nezhinka,51.7676,55.3694,297.24,50,0,5.0,RU,1691645417
324,mingora,34.7758,72.3625,303.22,61,40,2.13,PK,1691645418
325,springfield,37.2153,-93.2982,294.45,95,0,0.45,US,1691645197
326,jabor,5.921,169.6434,301.38,74,96,3.26,MH,1691645418
327,belmonte,-15.8631,-38.8828,294.98,68,27,2.52,BR,1691645418
328,cova figueira,14.8905,-24.2934,296.02,74,38,5.0,CV,1691645419
329,kapa'a,22.0752,-159.319,302.14,79,75,10.29,US,1691645259
330,salalah,17.0151,54.0924,300.2,89,100,5.14,OM,1691645421
331,calama,-22.4667,-68.9333,280.42,23,0,7.2,CL,1691645422
332,pimentel,-6.8367,-79.9342,295.31,78,100,5.14,PE,1691645422
333,castillos,-34.1667,-53.8333,288.05,93,100,3.8,UY,1691645422
334,chittarkonda,18.1167,82.0833,302.62,64,74,1.97,IN,1691645422
335,nili,33.7218,66.1302,301.46,16,0,0.64,AF,1691645423
336,geraldton,-28.7667,114.6,290.38,72,100,4.63,AU,1691645178
337,quang ngai,15.1167,108.8,310.4,40,97,5.46,VN,1691645423
338,port hedland,-20.3167,118.5667,305.18,17,4,5.14,AU,1691645424
339,al mutayrifi,25.4788,49.5576,308.34,18,0,1.22,SA,1691645424
340,ponta delgada,37.7333,-25.6667,297.55,94,75,6.17,PT,1691645424
341,flying fish cove,-10.4217,105.6791,299.97,73,75,5.66,CX,1691645425
342,hvardiiske,45.1209,34.0185,298.1,53,0,4.53,UA,1691645425
343,alaghsas,17.0187,8.0168,297.09,94,0,3.09,NE,1691645425
344,olyokminsk,60.3736,120.4264,305.22,31,12,1.92,RU,1691645425
345,mount gambier,-37.8333,140.7667,284.53,73,100,2.93,AU,1691645426
346,esikhaleni,-28.871,31.8996,291.82,75,95,2.17,ZA,1691645426
347,tacuarembo,-31.7333,-55.9833,283.74,98,51,2.3,UY,1691645426
348,chokwe,-24.5333,32.9833,291.94,72,85,1.85,MZ,1691645426
349,agbabu,6.5886,4.8343,295.57,98,96,0.93,NG,1691645427
350,flin flon,54.7682,-101.865,284.35,62,57,2.45,CA,1691645427
351,comodoro rivadavia,-45.8667,-67.5,287.07,58,75,4.12,AR,1691645427
352,wanning,18.8003,110.3967,306.37,60,65,6.86,CN,1691645428
353,saint-philippe,-21.3585,55.7679,295.92,78,47,3.43,RE,1691645428
354,gorontalo,0.5412,123.0595,303.67,61,71,4.73,ID,1691645428
355,la ronge,55.1001,-105.2842,290.29,55,75,4.12,CA,1691645428
356,acarau,-2.8856,-40.12,297.48,87,28,5.36,BR,1691645429
357,merizo village,13.2658,144.6691,303.0,86,100,9.54,GU,1691645429
358,congleton,53.1631,-2.2125,290.83,70,98,0.45,GB,1691645430
359,luganville,-15.5333,167.1667,295.31,67,98,6.14,VU,1691645430
360,bardai,11.65,7.2333,294.23,93,99,5.25,NG,1691645430
361,khash,28.2211,61.2158,305.54,14,1,0.78,IR,1691645430
362,ilha solteira,-20.4328,-51.3425,295.54,37,0,4.2,BR,1691645431
363,hamilton,39.1834,-84.5333,294.75,94,100,2.57,US,1691645431
364,kristiansund,63.1115,7.732,284.51,82,75,1.03,NO,1691645431
